genre,year,avg_tmdbPopularity
"action",1956,0.85
"action",1961,13.84
"action",1963,4.16
"action",1966,13.12
"action",1967,18.04
"action",1971,12.82
"action",1972,10.01
"action",1975,15.46
"action",1978,1.17
"action",1979,2.58
"action",1980,27.15
"action",1981,13.12
"action",1982,31.5
"action",1984,16.55
"action",1986,2.56
"action",1987,2.24
"action",1988,4.73
"action",1989,1.42
"action",1990,4.06
"action",1991,3.61
"action",1993,15.11
"action",1994,24.16
"action",1995,15.77
"action",1996,30.28
"action",1997,39.88
"action",1998,20.96
"action",1999,62.66
"action",2000,31.53
"action",2001,17.54
"action",2002,42.26
"action",2003,54.6
"action",2004,16.95
"action",2005,23.78
"action",2006,30.92
"action",2007,40.59
"action",2008,35.14
"action",2009,27.17
"action",2010,53.29
"action",2011,37.35
"action",2012,34.09
"action",2013,19.04
"action",2014,51.48
"action",2015,33.92
"action",2016,27.67
"action",2017,17.71
"action",2018,20.98
"action",2019,22.53
"action",2020,23.42
"action",2021,55.52
"action",2022,219.27
"fantasy",1975,15.46
"fantasy",1979,2.58
"fantasy",1982,1.77
"fantasy",1984,42.2
"fantasy",1993,18.4
"fantasy",1994,16.83
"fantasy",1995,56.48
"fantasy",1997,73.96
"fantasy",1998,26.46
"fantasy",1999,51.89
"fantasy",2000,62.35
"fantasy",2001,39.16
"fantasy",2002,95.5
"fantasy",2003,35.72
"fantasy",2004,30.67
"fantasy",2005,74.73
"fantasy",2006,44.39
"fantasy",2007,82.09
"fantasy",2008,46.02
"fantasy",2009,117.69
"fantasy",2010,38.31
"fantasy",2011,47.22
"fantasy",2012,44.04
"fantasy",2013,30.6
"fantasy",2014,39.01
"fantasy",2015,37.67
"fantasy",2016,92.96
"fantasy",2017,19.12
"fantasy",2018,23.59
"fantasy",2019,26.75
"fantasy",2020,26.78
"fantasy",2021,55.66
"fantasy",2022,198.64
"horror",1983,23.42
"horror",1984,48.36
"horror",1995,63.69
"horror",1997,25.7
"horror",1998,10.11
"horror",2001,27.37
"horror",2003,49.35
"horror",2004,1.36
"horror",2005,135.64
"horror",2006,70.39
"horror",2007,29.66
"horror",2008,17.66
"horror",2009,106
"horror",2010,113.77
"horror",2011,43.53
"horror",2012,40.45
"horror",2013,57.69
"horror",2014,32.85
"horror",2015,31.59
"horror",2016,124.64
"horror",2017,20.57
"horror",2018,19.79
"horror",2019,23.91
"horror",2020,20.87
"horror",2021,59.4
"horror",2022,432.6
"scifi",1981,10.84
"scifi",1982,31.5
"scifi",1988,8.09
"scifi",1991,7.95
"scifi",1993,16.51
"scifi",1994,16.83
"scifi",1995,41.24
"scifi",1997,45.09
"scifi",1998,30.68
"scifi",2000,62.35
"scifi",2001,44.21
"scifi",2002,218.84
"scifi",2003,17.32
"scifi",2004,22.11
"scifi",2005,87.22
"scifi",2006,48.59
"scifi",2007,29.41
"scifi",2008,33.25
"scifi",2009,269.15
"scifi",2010,119.04
"scifi",2011,28.71
"scifi",2012,50.3
"scifi",2013,37.54
"scifi",2014,82.37
"scifi",2015,31.37
"scifi",2016,113.63
"scifi",2017,20.69
"scifi",2018,24.19
"scifi",2019,26.92
"scifi",2020,28.28
"scifi",2021,52.11
"scifi",2022,201.18
"thriller",1956,0.85
"thriller",1960,0.79
"thriller",1971,12.82
"thriller",1972,10.01
"thriller",1973,1.95
"thriller",1983,13.6
"thriller",1986,3.37
"thriller",1988,1.19
"thriller",1991,2.71
"thriller",1993,15.82
"thriller",1994,25.71
"thriller",1995,34.06
"thriller",1996,30.28
"thriller",1997,21.9
"thriller",1998,15.49
"thriller",1999,12.14
"thriller",2000,16.11
"thriller",2001,25.32
"thriller",2002,57.73
"thriller",2003,52.9
"thriller",2004,12.53
"thriller",2005,62.12
"thriller",2006,32.39
"thriller",2007,17.23
"thriller",2008,41.87
"thriller",2009,57.62
"thriller",2010,64.55
"thriller",2011,30.33
"thriller",2012,46.91
"thriller",2013,41.98
"thriller",2014,24.88
"thriller",2015,30.5
"thriller",2016,49.5
"thriller",2017,21.97
"thriller",2018,18.95
"thriller",2019,16.19
"thriller",2020,22.85
"thriller",2021,44.21
"thriller",2022,194.61
